year,area_sqft,declared_value,sro_name,distance_to_metro_m,property_type,treated,post,price_sqft
2019,1200,5256391,Nanganallur,1463,Apartment,0,1,4380.33
2022,1200,6733531,Nanganallur,1465,Apartment,0,1,5611.28
2019,1200,10470864,Guindy,183,Apartment,1,1,8725.72
2021,1200,13602948,Adyar,1634,Commercial,0,1,11335.79
2023,1500,14715344,Guindy,528,Apartment,1,1,9810.23
2016,800,5339633,Guindy,213,Commercial,1,1,6674.54
2017,1000,9580974,Mylapore,1454,Commercial,0,1,9580.97
2017,1500,10392032,Guindy,186,Apartment,1,1,6928.02
2019,1000,7710906,Mylapore,2232,Apartment,0,1,7710.91
2011,1500,6857736,T. Nagar,200,House,1,0,4571.82
2018,2000,16013348,T. Nagar,245,House,1,1,8006.67
2015,1000,5119391,Ekkattuthangal,481,Apartment,1,1,5119.39
2020,1000,6280220,Saidapet,206,Apartment,1,1,6280.22
2020,1200,13245744,Saidapet,722,Commercial,1,1,11038.12
2014,1200,5896323,Adyar,1595,House,0,0,4913.6
2020,800,10314163,T. Nagar,649,Commercial,1,1,12892.7
2017,1200,6985015,Chromepet,3606,Commercial,0,1,5820.85
2016,1200,8376565,Adyar,2424,House,0,1,6980.47
2023,1000,5109307,Chromepet,1941,Apartment,0,1,5109.31
2011,1200,3097013,Nanganallur,833,Apartment,1,0,2580.84
2020,1000,8156965,Adyar,2852,Apartment,0,1,8156.97
2023,1000,8573920,Saidapet,467,House,1,1,8573.92
2020,1200,8963565,Guindy,575,Apartment,1,1,7469.64
2021,1500,9692284,Ekkattuthangal,595,Apartment,1,1,6461.52
2013,1200,3911756,Adyar,1943,Plot,0,0,3259.8
2013,2000,10590651,Alandur,716,Commercial,1,0,5295.33
2020,1200,7814789,Saidapet,400,Apartment,1,1,6512.32
2019,2000,13121406,Mylapore,3489,Apartment,0,1,6560.7
2022,600,3113423,Ekkattuthangal,407,Plot,1,1,5189.04
2020,1200,9662391,Guindy,116,House,1,1,8051.99
2018,2000,16942434,Mylapore,1738,House,0,1,8471.22
2022,3000,30327064,Mylapore,2512,Apartment,0,1,10109.02
2020,3000,12543270,Chromepet,1546,House,0,1,4181.09
2015,1000,7552095,Adyar,1534,House,0,1,7552.1
2021,1200,7753988,Mylapore,2921,Plot,0,1,6461.66
2020,1500,11501896,Saidapet,642,House,1,1,7667.93
2013,1200,6970466,Mylapore,2521,House,0,0,5808.72
2016,1500,9739272,Mylapore,2772,Apartment,0,1,6492.85
2012,2000,5602481,Chromepet,2631,Apartment,0,0,2801.24
2014,800,4016866,T. Nagar,188,Apartment,1,0,5021.08
2018,1200,6500536,Ekkattuthangal,571,Apartment,1,1,5417.11
2011,800,2575397,Alandur,638,Apartment,1,0,3219.25
2014,1500,9780032,Mylapore,3433,House,0,0,6520.02
2011,800,1724837,Tambaram,2398,Apartment,0,0,2156.05
2023,1500,8047704,Chromepet,3328,Apartment,0,1,5365.14
2017,1000,4571039,Saidapet,352,Plot,1,1,4571.04
2016,1200,6423456,Alandur,824,House,1,1,5352.88
2011,2000,3590700,Chromepet,2436,Plot,0,0,1795.35
2017,2500,20769081,Ekkattuthangal,353,Commercial,1,1,8307.63
2013,1000,5704618,Guindy,315,Commercial,1,0,5704.62
2019,1500,12004444,Mylapore,2292,House,0,1,8002.96
2019,600,2854075,Tambaram,3218,Commercial,0,1,4756.79
2015,1000,6540316,Mylapore,2960,House,0,1,6540.32
2015,1500,7851463,Saidapet,653,Apartment,1,1,5234.31
2012,1200,4462991,Ekkattuthangal,892,Apartment,1,0,3719.16
2018,1000,8157104,Mylapore,3289,House,0,1,8157.1
2013,1000,4310700,Nanganallur,1015,Commercial,0,0,4310.7
2020,1500,5455462,Tambaram,3716,Apartment,0,1,3636.98
2021,1200,6938504,Adyar,1332,Plot,0,1,5782.09
2014,2000,12393714,Adyar,1281,House,0,0,6196.86
2023,3000,26630395,Adyar,2447,House,0,1,8876.8
2016,600,4084179,Mylapore,2074,Apartment,0,1,6806.97
2012,1500,3547124,Tambaram,3247,Apartment,0,0,2364.75
2021,2000,15382569,Saidapet,523,Apartment,1,1,7691.28
2020,2000,17942488,Guindy,121,Apartment,1,1,8971.24
2022,600,4169956,Alandur,630,Apartment,1,1,6949.93
2013,600,1870584,Nanganallur,1678,Apartment,0,0,3117.64
2023,1200,12175911,Alandur,348,Commercial,1,1,10146.59
2012,1000,5219507,Alandur,1049,Commercial,0,0,5219.51
2016,1200,8584287,Ekkattuthangal,383,Commercial,1,1,7153.57
2022,1500,13962951,Guindy,669,House,1,1,9308.63
2022,2500,22254828,Mylapore,3209,Apartment,0,1,8901.93
2023,2000,12851200,Tambaram,3680,Commercial,0,1,6425.6
2022,2500,24200001,T. Nagar,498,Apartment,1,1,9680.0
2019,1500,10142669,T. Nagar,676,Apartment,1,1,6761.78
2019,1500,5514758,Tambaram,3701,Apartment,0,1,3676.51
2012,1000,4643605,Ekkattuthangal,416,Commercial,1,0,4643.61
2012,1500,5712373,Saidapet,519,Apartment,1,0,3808.25
2022,600,3236679,Tambaram,4848,Commercial,0,1,5394.47
2019,600,4536266,Guindy,687,House,1,1,7560.44
2022,1500,8155304,Nanganallur,1909,House,0,1,5436.87
2014,1000,4539496,Guindy,688,Apartment,1,0,4539.5
2020,2000,9996345,Nanganallur,1670,House,0,1,4998.17
2013,1500,8647138,Guindy,416,Commercial,1,0,5764.76
2019,2000,8266682,Tambaram,4270,House,0,1,4133.34
2014,1500,9292654,Adyar,1658,House,0,0,6195.1
2013,1000,3570334,Nanganallur,1209,Apartment,0,0,3570.33
2023,1500,13082175,Adyar,2747,Apartment,0,1,8721.45
2023,2000,19519927,T. Nagar,505,Apartment,1,1,9759.96
2015,3000,13463000,Saidapet,861,Plot,1,1,4487.67
2023,600,5932789,T. Nagar,184,Apartment,1,1,9887.98
2020,1200,7186216,Ekkattuthangal,458,House,1,1,5988.51
2022,1200,13003997,Alandur,981,Commercial,1,1,10836.66
2020,1200,6062634,Tambaram,4467,House,0,1,5052.2
2012,1500,7194789,Saidapet,534,Commercial,1,0,4796.53
2015,800,3971223,Saidapet,751,House,1,1,4964.03
2017,1200,7111211,Mylapore,1877,House,0,1,5926.01
2019,2000,9195864,Nanganallur,1804,Apartment,0,1,4597.93
2014,1000,6476859,Mylapore,3408,House,0,0,6476.86
2015,1500,7940055,Saidapet,362,Apartment,1,1,5293.37
2017,1000,5667635,Mylapore,1700,Apartment,0,1,5667.64
2015,1500,4250888,Tambaram,3280,Apartment,0,1,2833.93
2016,600,3802518,Guindy,412,Apartment,1,1,6337.53
2011,1200,4637107,Ekkattuthangal,604,House,1,0,3864.26
2021,1000,5033783,Nanganallur,1419,Apartment,0,1,5033.78
2023,1000,8209812,Alandur,531,House,1,1,8209.81
2015,1500,6608827,Ekkattuthangal,358,Apartment,1,1,4405.89
2021,2500,21237735,Saidapet,415,Apartment,1,1,8495.09
2017,1200,8369841,Saidapet,384,Apartment,1,1,6974.87
2023,2500,19762526,Alandur,400,Apartment,1,1,7905.01
2012,1500,6892590,Adyar,2231,Apartment,0,0,4595.06
2012,3000,9329098,Nanganallur,1998,House,0,0,3109.7
2012,2000,5620623,Chromepet,3661,House,0,0,2810.31
2014,1000,6322521,Mylapore,1744,House,0,0,6322.52
2015,1200,6285132,Ekkattuthangal,603,House,1,1,5237.61
2023,1500,8469623,Tambaram,3112,Commercial,0,1,5646.42
2012,1000,2527313,Tambaram,3347,Apartment,0,0,2527.31
2019,2000,13773168,Saidapet,596,Apartment,1,1,6886.58
2016,1000,7206582,Guindy,443,House,1,1,7206.58
2019,1200,8500407,Ekkattuthangal,904,House,1,1,7083.67
2020,1000,10197993,T. Nagar,251,House,1,1,10197.99
2015,1200,4926572,Tambaram,3026,Commercial,0,1,4105.48
2023,1200,7542757,Nanganallur,1428,Apartment,0,1,6285.63
2021,2000,14561003,Alandur,1032,Commercial,0,1,7280.5
2021,2000,17524690,Saidapet,563,House,1,1,8762.35
2019,1200,7749276,Ekkattuthangal,423,House,1,1,6457.73
2023,800,4731906,Alandur,1038,Apartment,0,1,5914.88
2021,1200,6165755,Alandur,743,Plot,1,1,5138.13
2014,1200,6907174,Mylapore,1505,House,0,0,5755.98
2023,1000,5055911,Chromepet,2562,Apartment,0,1,5055.91
2020,1200,6916760,Guindy,544,Plot,1,1,5763.97
2015,1000,6504831,Adyar,2341,Commercial,0,1,6504.83
2020,1200,4523206,Tambaram,3806,Apartment,0,1,3769.34
2021,1000,11537879,Guindy,253,Commercial,1,1,11537.88
2017,800,5828832,T. Nagar,209,House,1,1,7286.04
2011,2000,9279166,Saidapet,780,House,1,0,4639.58
2011,1000,4247874,Adyar,1860,Apartment,0,0,4247.87
2023,1200,6298674,Chromepet,2468,House,0,1,5248.9
2013,1500,5676686,Saidapet,519,House,1,0,3784.46
2017,2000,5255760,Tambaram,4506,Apartment,0,1,2627.88
2016,1000,5299707,Alandur,467,House,1,1,5299.71
2023,800,3673936,Tambaram,2707,House,0,1,4592.42
2021,1000,8125482,Ekkattuthangal,727,House,1,1,8125.48
2016,1200,4294283,Chromepet,1841,Apartment,0,1,3578.57
2013,1200,4184863,Nanganallur,2032,House,0,0,3487.39
2023,2000,16192112,Alandur,702,House,1,1,8096.06
2020,1200,8586356,Adyar,1407,Apartment,0,1,7155.3
2023,3000,31840955,Mylapore,3079,Apartment,0,1,10613.65
2014,1200,3019413,Nanganallur,2340,Plot,0,0,2516.18
2012,2000,9126182,Nanganallur,1205,Commercial,0,0,4563.09
2016,800,3789985,Ekkattuthangal,759,Apartment,1,1,4737.48
2015,1000,5062531,Saidapet,560,Apartment,1,1,5062.53
2017,2000,9905960,Guindy,279,Plot,1,1,4952.98
2015,1200,4061892,Nanganallur,2139,Apartment,0,1,3384.91
2016,1200,10720427,Guindy,141,Commercial,1,1,8933.69
2019,600,3854573,Alandur,775,Apartment,1,1,6424.29
2014,2500,11109835,Saidapet,665,House,1,0,4443.93
2011,2000,10118417,Guindy,263,House,1,0,5059.21
2019,1500,12854388,Alandur,732,Commercial,1,1,8569.59
2014,2000,7417502,Alandur,786,Apartment,1,0,3708.75
2023,1500,11992185,Alandur,907,Apartment,1,1,7994.79
2013,1000,4991177,Adyar,1666,House,0,0,4991.18
2021,1500,7877575,Tambaram,2641,Commercial,0,1,5251.72
2015,1000,2390610,Tambaram,3122,Apartment,0,1,2390.61
2022,1500,14453873,T. Nagar,412,House,1,1,9635.92
2014,2000,8379053,Alandur,470,House,1,0,4189.53
2015,1200,8679065,Saidapet,262,Commercial,1,1,7232.55
2017,2000,7919465,Nanganallur,2349,House,0,1,3959.73
2021,2000,18373119,Adyar,1585,Apartment,0,1,9186.56
2015,600,3866893,Mylapore,2846,Apartment,0,1,6444.82
2015,800,4099704,Saidapet,692,Apartment,1,1,5124.63
2021,2000,14833201,Guindy,799,Apartment,1,1,7416.6
2020,2000,16096153,Adyar,1828,Apartment,0,1,8048.08
2023,2000,17496285,T. Nagar,585,Apartment,1,1,8748.14
2011,2500,10721847,Guindy,204,House,1,0,4288.74
2022,1500,14833995,Mylapore,2188,House,0,1,9889.33
2011,800,2229172,Nanganallur,999,House,1,0,2786.47
2015,600,3455095,Guindy,186,Apartment,1,1,5758.49
2011,800,3368882,Adyar,1242,Apartment,0,0,4211.1
2014,1500,9387446,Alandur,900,Commercial,1,0,6258.3
2020,1500,11410843,T. Nagar,640,Apartment,1,1,7607.23
2022,2000,15929914,Nanganallur,2446,Commercial,0,1,7964.96
2019,1000,7822563,Mylapore,2320,Apartment,0,1,7822.56
2019,600,2142896,Tambaram,4216,House,0,1,3571.49
2014,3000,14360859,Saidapet,348,Apartment,1,0,4786.95
2020,2500,19758718,Saidapet,722,Apartment,1,1,7903.49
2018,1200,8495990,Adyar,2888,Apartment,0,1,7079.99
2022,2000,14562007,Alandur,974,Apartment,1,1,7281.0
2017,1000,11155974,Mylapore,2967,Commercial,0,1,11155.97
2018,1500,9363303,Ekkattuthangal,937,House,1,1,6242.2
2021,2000,16497392,Adyar,1435,Apartment,0,1,8248.7
2015,2000,9783571,Saidapet,740,House,1,1,4891.79
2018,1200,9290209,T. Nagar,556,Apartment,1,1,7741.84
2017,2000,16754461,T. Nagar,168,House,1,1,8377.23
2018,600,2116336,Tambaram,3134,Apartment,0,1,3527.23
2013,2000,7906277,Guindy,203,Apartment,1,0,3953.14
2017,1500,5432046,Tambaram,3428,House,0,1,3621.36
2020,600,4467492,Alandur,847,Commercial,1,1,7445.82
2019,1200,6097170,Guindy,113,Plot,1,1,5080.98
2018,800,5745992,Adyar,2293,House,0,1,7182.49
2020,1500,12660568,Alandur,269,Commercial,1,1,8440.38
2015,1000,5206264,Mylapore,2270,Apartment,0,1,5206.26
2014,2000,5991809,Tambaram,2940,Apartment,0,0,2995.9
2020,1500,10271825,Ekkattuthangal,635,House,1,1,6847.88
2012,600,3650978,Mylapore,1561,House,0,0,6084.96
2018,2000,12895835,T. Nagar,555,Apartment,1,1,6447.92
2014,1200,4249934,Nanganallur,1940,House,0,0,3541.61
2012,800,3545508,Adyar,1680,Apartment,0,0,4431.89
2016,1200,4265822,Tambaram,3019,House,0,1,3554.85
2022,1500,8344132,Nanganallur,2382,Apartment,0,1,5562.75
2014,1200,4380398,Ekkattuthangal,804,Apartment,1,0,3650.33
2015,2000,11628419,Guindy,662,Apartment,1,1,5814.21
2023,1200,6371671,Chromepet,2080,Apartment,0,1,5309.73
2020,1500,9625793,Alandur,831,Apartment,1,1,6417.2
2018,2000,13785749,Saidapet,840,House,1,1,6892.87
2018,600,1810469,Tambaram,3619,Apartment,0,1,3017.45
2020,1000,8339823,Mylapore,2275,Apartment,0,1,8339.82
2016,2000,12619714,Mylapore,2305,Apartment,0,1,6309.86
2019,600,2699438,Nanganallur,2379,Apartment,0,1,4499.06
2016,600,4451215,Guindy,618,Commercial,1,1,7418.69
2018,2500,19673973,Mylapore,2571,House,0,1,7869.59
2020,800,2122351,Tambaram,2164,Plot,0,1,2652.94
2015,1200,7547103,Adyar,2953,House,0,1,6289.25
2019,1500,5406089,Tambaram,4492,Apartment,0,1,3604.06
2016,1200,4311732,Chromepet,3874,House,0,1,3593.11
2011,1000,3117530,Nanganallur,976,House,1,0,3117.53
2020,2500,17800077,Saidapet,776,Apartment,1,1,7120.03
2013,1200,5725460,Saidapet,343,House,1,0,4771.22
2022,3000,27305752,Mylapore,2717,Apartment,0,1,9101.92
2014,2000,13165762,Adyar,1476,House,0,0,6582.88
2018,1500,8553024,Alandur,463,Apartment,1,1,5702.02
2020,1500,7375469,Tambaram,4727,Commercial,0,1,4916.98
2013,1200,3356960,Saidapet,453,Plot,1,0,2797.47
2019,800,4333394,Alandur,1040,Apartment,0,1,5416.74
2021,1200,8466931,Ekkattuthangal,606,Apartment,1,1,7055.78
2015,1500,6916425,Alandur,734,Apartment,1,1,4610.95
2020,1500,12534118,Mylapore,2633,Apartment,0,1,8356.08
2012,1200,4864311,T. Nagar,432,Apartment,1,0,4053.59
2015,2000,13061841,Guindy,619,House,1,1,6530.92
2019,1200,7120838,Nanganallur,1343,Commercial,0,1,5934.03
2023,1500,8975901,Guindy,674,Plot,1,1,5983.93
2021,600,3111713,Nanganallur,2329,Apartment,0,1,5186.19
2011,2000,4215553,Tambaram,4178,Apartment,0,0,2107.78
2023,2500,21759138,T. Nagar,625,Apartment,1,1,8703.66
2022,1200,6293886,Nanganallur,1010,Apartment,0,1,5244.91
2016,1200,9177814,Ekkattuthangal,525,Commercial,1,1,7648.18
2018,1500,6025238,Chromepet,3703,Apartment,0,1,4016.83
2020,1200,10709140,T. Nagar,487,House,1,1,8924.28
2015,2000,9510541,Nanganallur,1072,Commercial,0,1,4755.27
2022,1000,10494718,T. Nagar,397,House,1,1,10494.72
2011,1000,5283929,Alandur,373,Commercial,1,0,5283.93
2016,800,2546063,Tambaram,3838,Apartment,0,1,3182.58
2014,2000,4157876,Tambaram,2948,Plot,0,0,2078.94
2011,600,3185472,Saidapet,314,Commercial,1,0,5309.12
2016,1200,6424120,Saidapet,757,Apartment,1,1,5353.43
2018,2500,14914926,Alandur,530,House,1,1,5965.97
2019,2500,18990587,Adyar,1861,Apartment,0,1,7596.23
2017,1500,9736121,Alandur,422,House,1,1,6490.75
2022,1200,10932767,Adyar,1832,House,0,1,9110.64
2019,1200,7224935,Alandur,714,Apartment,1,1,6020.78
2021,1000,4146506,Tambaram,3677,Apartment,0,1,4146.51
2012,1500,6673380,Alandur,1025,House,0,0,4448.92
2017,2000,6559090,Tambaram,3655,House,0,1,3279.55
2015,2000,8966999,Saidapet,668,Apartment,1,1,4483.5
2023,2000,18068149,T. Nagar,350,Apartment,1,1,9034.07
2014,1500,7437408,T. Nagar,175,Apartment,1,0,4958.27
2014,1500,9822800,T. Nagar,699,Commercial,1,0,6548.53
2022,1500,11401495,Alandur,655,Apartment,1,1,7601.0
2021,1200,9484653,Saidapet,361,House,1,1,7903.88
2023,600,2697451,Tambaram,3936,Apartment,0,1,4495.75
2022,1200,12942981,Mylapore,2890,Apartment,0,1,10785.82
2023,1500,13979616,T. Nagar,581,Apartment,1,1,9319.74
2011,600,1638442,Nanganallur,848,Apartment,1,0,2730.74
2020,2500,14554690,Ekkattuthangal,617,Apartment,1,1,5821.88
2015,2000,6016283,Tambaram,3367,Apartment,0,1,3008.14
2017,1500,9641161,Adyar,2264,Apartment,0,1,6427.44
2023,1200,12541535,T. Nagar,482,Apartment,1,1,10451.28
2022,1000,7688697,Ekkattuthangal,408,House,1,1,7688.7
2022,600,3832371,Chromepet,3650,Commercial,0,1,6387.29
2014,800,4771810,Adyar,2912,House,0,0,5964.76
2014,800,4061369,Guindy,738,Apartment,1,0,5076.71
2020,1500,10778891,Guindy,431,Apartment,1,1,7185.93
2020,1500,10940068,Saidapet,304,Apartment,1,1,7293.38
2016,2500,17711739,T. Nagar,233,Apartment,1,1,7084.7
2018,1500,7106739,Nanganallur,1186,Commercial,0,1,4737.83
2015,1500,9583845,Adyar,2185,Apartment,0,1,6389.23
2019,1200,4108126,Tambaram,3431,Apartment,0,1,3423.44
